Non-Standard Options,-agentlib:libname[=options],"<p>Loads the specified native agent library. After the library name, a comma-separated list of options specific to the library can be used.</p> 
<p>If the option <code dir=""ltr"">-agentlib:foo</code> is specified, then the JVM attempts to load the library named <code dir=""ltr"">libfoo.so</code> in the location specified by the <code dir=""ltr"">LD_LIBRARY_PATH</code> system variable (on OS X this variable is <code dir=""ltr"">DYLD_LIBRARY_PATH</code>).</p> 
<p>The following example shows how to load the heap profiling tool (HPROF) library and get sample CPU information every 20 ms, with a stack depth of 3:</p> 
<pre dir=""ltr"" xml:space=""preserve"">
-agentlib:hprof=cpu=samples,interval=20,depth=3
</pre> 
<p>The following example shows how to load the Java Debug Wire Protocol (JDWP) library and listen for the socket connection on port 8000, suspending the JVM before the main class loads:</p> 
<pre dir=""ltr"" xml:space=""preserve"">
-agentlib:jdwp=transport=dt_socket,server=y,address=8000
</pre> 
<p>For more information about the native agent libraries, refer to the following:</p> 
<ul> 
 <li> <p>The <code dir=""ltr"">java.lang.instrument</code> package description at <code dir=""ltr""><a href=""http://docs.oracle.com/javase/8/docs/api/java/lang/instrument/package-summary.html"">http://docs.oracle.com/javase/8/docs/api/java/lang/instrument/package-summary.html</a></code></p> </li> 
 <li> <p>Agent Command Line Options in the JVM Tools Interface guide at <code dir=""ltr""><a href=""http://docs.oracle.com/javase/8/docs/platform/jvmti/jvmti.html#starting"">http://docs.oracle.com/javase/8/docs/platform/jvmti/jvmti.html#starting</a></code></p> </li> 
</ul>"
Non-Standard Options,-agentpath:pathname[=options],"<p>Loads the native agent library specified by the absolute path name. This option is equivalent to <code dir=""ltr"">-agentlib</code> but uses the full path and file name of the library.</p>"
Non-Standard Options,-client,"<p>Selects the Java HotSpot Client VM. The 64-bit version of the Java SE Development Kit (JDK) currently ignores this option and instead uses the Server JVM.</p> 
<p>For default JVM selection, see Server-Class Machine Detection at<br> <code dir=""ltr""><a href=""http://docs.oracle.com/javase/8/docs/technotes/guides/vm/server-class.html"">http://docs.oracle.com/javase/8/docs/technotes/guides/vm/server-class.html</a></code></p>"
Non-Standard Options,-Dproperty=value,"<p>Sets a system property value. The <i>property</i> variable is a string with no spaces that represents the name of the property. The <i>value</i> variable is a string that represents the value of the property. If <i>value</i> is a string with spaces, then enclose it in quotation marks (for example <code dir=""ltr"">-Dfoo=""foo bar""</code>).</p>"
Non-Standard Options,-d32,"<p>Runs the application in a 32-bit environment. If a 32-bit environment is not installed or is not supported, then an error will be reported. By default, the application is run in a 32-bit environment unless a 64-bit system is used.</p>"
Non-Standard Options,-d64,"<p>Runs the application in a 64-bit environment. If a 64-bit environment is not installed or is not supported, then an error will be reported. By default, the application is run in a 32-bit environment unless a 64-bit system is used.</p> 
<p>Currently only the Java HotSpot Server VM supports 64-bit operation, and the <code dir=""ltr"">-server</code> option is implicit with the use of <code dir=""ltr"">-d64</code>. The <code dir=""ltr"">-client</code> option is ignored with the use of <code dir=""ltr"">-d64</code>. This is subject to change in a future release.</p>"
Non-Standard Options,-disableassertions[:[packagename]...|:classname],
Non-Standard Options,-dsa,<p>Disables assertions in all system classes.</p>
Non-Standard Options,-enableassertions[:[packagename]...|:classname],
Non-Standard Options,-esa,<p>Enables assertions in all system classes.</p>
Non-Standard Options,-help,
Advanced Runtime Options,-X,"<p>Displays help for all available <code dir=""ltr"">-X</code> options.</p>"
Advanced Runtime Options,-Xbatch,"<p>Disables background compilation. By default, the JVM compiles the method as a background task, running the method in interpreter mode until the background compilation is finished. The <code dir=""ltr"">-Xbatch</code> flag disables background compilation so that compilation of all methods proceeds as a foreground task until completed.</p> 
<p>This option is equivalent to <code dir=""ltr"">-XX:-BackgroundCompilation</code>.</p>"
Advanced Runtime Options,-Xbootclasspath:path,"<p>Specifies a list of directories, JAR files, and ZIP archives separated by colons (:) to search for boot class files. These are used in place of the boot class files included in the JDK.</p> 
<p>Do not deploy applications that use this option to override a class in <code dir=""ltr"">rt.jar</code>, because this violates the JRE binary code license.</p>"
Advanced Runtime Options,-Xbootclasspath/a:path,"<p>Specifies a list of directories, JAR files, and ZIP archives separated by colons (:) to append to the end of the default bootstrap class path.</p> 
<p>Do not deploy applications that use this option to override a class in <code dir=""ltr"">rt.jar</code>, because this violates the JRE binary code license.</p>"
Advanced Runtime Options,-Xbootclasspath/p:path,"<p>Specifies a list of directories, JAR files, and ZIP archives separated by colons (:) to prepend to the front of the default bootstrap class path.</p> 
<p>Do not deploy applications that use this option to override a class in <code dir=""ltr"">rt.jar</code>, because this violates the JRE binary code license.</p>"
Advanced Runtime Options,-Xcheck:jni,"<p>Performs additional checks for Java Native Interface (JNI) functions. Specifically, it validates the parameters passed to the JNI function and the runtime environment data before processing the JNI request. Any invalid data encountered indicates a problem in the native code, and the JVM will terminate with an irrecoverable error in such cases. Expect a performance degradation when this option is used.</p>"
Advanced Runtime Options,-Xcomp,"<p>Forces compilation of methods on first invocation. By default, the Client VM (<code dir=""ltr"">-client</code>) performs 1,000 interpreted method invocations and the Server VM (<code dir=""ltr"">-server</code>) performs 10,000 interpreted method invocations to gather information for efficient compilation. Specifying the <code dir=""ltr"">-Xcomp</code> option disables interpreted method invocations to increase compilation performance at the expense of efficiency.</p> 
<p>You can also change the number of interpreted method invocations before compilation using the <code dir=""ltr"">-XX:CompileThreshold</code> option.</p>"
Advanced Runtime Options,-Xdebug,<p>Does nothing. Provided for backward compatibility.</p>
Advanced Runtime Options,-Xdiag,<p>Shows additional diagnostic messages.</p>
Advanced Runtime Options,-Xfuture,<p>Enables strict class-file format checks that enforce close conformance to the class-file format specification. Developers are encouraged to use this flag when developing new code because the stricter checks will become the default in future releases.</p>
Advanced Runtime Options,-Xint,"<p>Runs the application in interpreted-only mode. Compilation to native code is disabled, and all bytecode is executed by the interpreter. The performance benefits offered by the just in time (JIT) compiler are not present in this mode.</p>"
Advanced Runtime Options,-Xinternalversion,"<p>Displays more detailed JVM version information than the <code dir=""ltr"">-version</code> option, and then exits.</p>"
Advanced Runtime Options,-Xloggc:filename,"<p>Sets the file to which verbose GC events information should be redirected for logging. The information written to this file is similar to the output of <code dir=""ltr"">-verbose:gc</code> with the time elapsed since the first GC event preceding each logged event. The <code dir=""ltr"">-Xloggc</code> option overrides <code dir=""ltr"">-verbose:gc</code> if both are given with the same <code dir=""ltr"">java</code> command.</p> 
<p>Example:</p> 
<pre dir=""ltr"" xml:space=""preserve"">
-Xloggc:garbage-collection.log
</pre>"
Advanced Runtime Options,-Xmaxjitcodesize=size,"<p>Specifies the maximum code cache size (in bytes) for JIT-compiled code. Append the letter <code dir=""ltr"">k</code> or <code dir=""ltr"">K</code> to indicate kilobytes, <code dir=""ltr"">m</code> or <code dir=""ltr"">M</code> to indicate megabytes, <code dir=""ltr"">g</code> or <code dir=""ltr"">G</code> to indicate gigabytes. The default maximum code cache size is 240 MB; if you disable tiered compilation with the option <code dir=""ltr"">-XX:-TieredCompilation</code>, then the default size is 48 MB:</p> 
<pre dir=""ltr"" xml:space=""preserve"">
-Xmaxjitcodesize=240m
</pre> 
<p>This option is equivalent to <code dir=""ltr"">-XX:ReservedCodeCacheSize</code>.</p>"
Advanced Runtime Options,-Xmixed,"<p>Executes all bytecode by the interpreter except for hot methods, which are compiled to native code.</p>"
Advanced Runtime Options,-Xmnsize,"<p>Sets the initial and maximum size (in bytes) of the heap for the young generation (nursery). Append the letter <code dir=""ltr"">k</code> or <code dir=""ltr"">K</code> to indicate kilobytes, <code dir=""ltr"">m</code> or <code dir=""ltr"">M</code> to indicate megabytes, <code dir=""ltr"">g</code> or <code dir=""ltr"">G</code> to indicate gigabytes.</p> 
<p>The young generation region of the heap is used for new objects. GC is performed in this region more often than in other regions. If the size for the young generation is too small, then a lot of minor garbage collections will be performed. If the size is too large, then only full garbage collections will be performed, which can take a long time to complete. Oracle recommends that you keep the size for the young generation between a half and a quarter of the overall heap size.</p> 
<p>The following examples show how to set the initial and maximum size of young generation to 256 MB using various units:</p> 
<pre dir=""ltr"" xml:space=""preserve"">
-Xmn256m
-Xmn262144k
-Xmn268435456
</pre> 
<p>Instead of the <code dir=""ltr"">-Xmn</code> option to set both the initial and maximum size of the heap for the young generation, you can use <code dir=""ltr"">-XX:NewSize</code> to set the initial size and <code dir=""ltr"">-XX:MaxNewSize</code> to set the maximum size.</p>"
Advanced Runtime Options,-Xmssize,"<p>Sets the initial size (in bytes) of the heap. This value must be a multiple of 1024 and greater than 1 MB. Append the letter <code dir=""ltr"">k</code> or <code dir=""ltr"">K</code> to indicate kilobytes, <code dir=""ltr"">m</code> or <code dir=""ltr"">M</code> to indicate megabytes, <code dir=""ltr"">g</code> or <code dir=""ltr"">G</code> to indicate gigabytes.</p> 
<p>The following examples show how to set the size of allocated memory to 6 MB using various units:</p> 
<pre dir=""ltr"" xml:space=""preserve"">
-Xms6291456
-Xms6144k
-Xms6m
</pre> 
<p>If you do not set this option, then the initial size will be set as the sum of the sizes allocated for the old generation and the young generation. The initial size of the heap for the young generation can be set using the <code dir=""ltr"">-Xmn</code> option or the <code dir=""ltr"">-XX:NewSize</code> option.</p>"
Advanced Runtime Options,-Xmxsize,"<p>Specifies the maximum size (in bytes) of the memory allocation pool in bytes. This value must be a multiple of 1024 and greater than 2 MB. Append the letter <code dir=""ltr"">k</code> or <code dir=""ltr"">K</code> to indicate kilobytes, <code dir=""ltr"">m</code> or <code dir=""ltr"">M</code> to indicate megabytes, <code dir=""ltr"">g</code> or <code dir=""ltr"">G</code> to indicate gigabytes. The default value is chosen at runtime based on system configuration. For server deployments, <code dir=""ltr"">-Xms</code> and <code dir=""ltr"">-Xmx</code> are often set to the same value. See the section ""Ergonomics"" in <i>Java SE HotSpot Virtual Machine Garbage Collection Tuning Guide</i> at <code dir=""ltr""><a href=""http://docs.oracle.com/javase/8/docs/technotes/guides/vm/gctuning/index.html"">http://docs.oracle.com/javase/8/docs/technotes/guides/vm/gctuning/index.html</a></code>.</p> 
<p>The following examples show how to set the maximum allowed size of allocated memory to 80 MB using various units:</p> 
<pre dir=""ltr"" xml:space=""preserve"">
-Xmx83886080
-Xmx81920k
-Xmx80m
</pre> 
<p>The <code dir=""ltr"">-Xmx</code> option is equivalent to <code dir=""ltr"">-XX:MaxHeapSize</code>.</p>"
Advanced Runtime Options,-Xnoclassgc,"<p>Disables garbage collection (GC) of classes. This can save some GC time, which shortens interruptions during the application run.</p> 
<p>When you specify <code dir=""ltr"">-Xnoclassgc</code> at startup, the class objects in the application will be left untouched during GC and will always be considered live. This can result in more memory being permanently occupied which, if not used carefully, will throw an out of memory exception.</p>"
Advanced Runtime Options,-Xprof,<p>Profiles the running program and sends profiling data to standard output. This option is provided as a utility that is useful in program development and is not intended to be used in production systems.</p>
Advanced Runtime Options,-Xrs,"<p>Reduces the use of operating system signals by the JVM.</p> 
<p>Shutdown hooks enable orderly shutdown of a Java application by running user cleanup code (such as closing database connections) at shutdown, even if the JVM terminates abruptly.</p> 
<p>The JVM catches signals to implement shutdown hooks for unexpected termination. The JVM uses <code dir=""ltr"">SIGHUP</code>, <code dir=""ltr"">SIGINT</code>, and <code dir=""ltr"">SIGTERM</code> to initiate the running of shutdown hooks.</p> 
<p>The JVM uses a similar mechanism to implement the feature of dumping thread stacks for debugging purposes. The JVM uses <code dir=""ltr"">SIGQUIT</code> to perform thread dumps.</p> 
<p>Applications embedding the JVM frequently need to trap signals such as <code dir=""ltr"">SIGINT</code> or <code dir=""ltr"">SIGTERM</code>, which can lead to interference with the JVM signal handlers. The <code dir=""ltr"">-Xrs</code> option is available to address this issue. When <code dir=""ltr"">-Xrs</code> is used, the signal masks for <code dir=""ltr"">SIGINT</code>, <code dir=""ltr"">SIGTERM</code>, <code dir=""ltr"">SIGHUP</code>, and <code dir=""ltr"">SIGQUIT</code> are not changed by the JVM, and signal handlers for these signals are not installed.</p> 
<p>There are two consequences of specifying <code dir=""ltr"">-Xrs</code>:</p> 
<ul> 
 <li> <p><code dir=""ltr"">SIGQUIT</code> thread dumps are not available.</p> </li> 
 <li> <p>User code is responsible for causing shutdown hooks to run, for example, by calling <code dir=""ltr"">System.exit()</code> when the JVM is to be terminated.</p> </li> 
</ul>"
Advanced Runtime Options,-Xshare:mode,"<p>Sets the class data sharing (CDS) mode. Possible <i>mode</i> arguments for this option include the following:</p> 
<dl> 
 <dt>
  auto
 </dt> 
 <dd> 
  <p>Use CDS if possible. This is the default value for Java HotSpot 32-Bit Client VM.</p> 
 </dd> 
 <dt>
  on
 </dt> 
 <dd> 
  <p>Require the use of CDS. Print an error message and exit if class data sharing cannot be used.</p> 
 </dd> 
 <dt>
  off
 </dt> 
 <dd> 
  <p>Do not use CDS. This is the default value for Java HotSpot 32-Bit Server VM, Java HotSpot 64-Bit Client VM, and Java HotSpot 64-Bit Server VM.</p> 
 </dd> 
 <dt>
  dump
 </dt> 
 <dd> 
  <p>Manually generate the CDS archive. Specify the application class path as described in <a href=""classpath.html#CBHHCGFB"">""Setting the Class Path""</a>.</p> 
  <p>You should regenerate the CDS archive with each new JDK release.</p> 
 </dd> 
</dl>"
Advanced Runtime Options,-XshowSettings:category,"<p>Shows settings and continues. Possible <i>category</i> arguments for this option include the following:</p> 
<dl> 
 <dt>
  all
 </dt> 
 <dd> 
  <p>Shows all categories of settings. This is the default value.</p> 
 </dd> 
 <dt>
  locale
 </dt> 
 <dd> 
  <p>Shows settings related to locale.</p> 
 </dd> 
 <dt>
  properties
 </dt> 
 <dd> 
  <p>Shows settings related to system properties.</p> 
 </dd> 
 <dt>
  vm
 </dt> 
 <dd> 
  <p>Shows the settings of the JVM.</p> 
 </dd> 
</dl>"
Advanced Runtime Options,-Xsssize,"<p>Sets the thread stack size (in bytes). Append the letter <code dir=""ltr"">k</code> or <code dir=""ltr"">K</code> to indicate KB, <code dir=""ltr"">m</code> or <code dir=""ltr"">M</code> to indicate MB, <code dir=""ltr"">g</code> or <code dir=""ltr"">G</code> to indicate GB. The default value depends on the platform:</p> 
<ul> 
 <li> <p>Linux/ARM (32-bit): 320 KB</p> </li> 
 <li> <p>Linux/i386 (32-bit): 320 KB</p> </li> 
 <li> <p>Linux/x64 (64-bit): 1024 KB</p> </li> 
 <li> <p>OS X (64-bit): 1024 KB</p> </li> 
 <li> <p>Oracle Solaris/i386 (32-bit): 320 KB</p> </li> 
 <li> <p>Oracle Solaris/x64 (64-bit): 1024 KB</p> </li> 
</ul> 
<p>The following examples set the thread stack size to 1024 KB in different units:</p> 
<pre dir=""ltr"" xml:space=""preserve"">
-Xss1m
-Xss1024k
-Xss1048576
</pre> 
<p>This option is equivalent to <code dir=""ltr"">-XX:ThreadStackSize</code>.</p>"
Advanced Runtime Options,-Xusealtsigs,"<p>Use alternative signals instead of <code dir=""ltr"">SIGUSR1</code> and <code dir=""ltr"">SIGUSR2</code> for JVM internal signals. This option is equivalent to <code dir=""ltr"">-XX:+UseAltSigs</code>.</p>"
